,epoch,training loss,validation loss
0,1.0,0.9729299815195911,0.8806864069058344
1,2.0,0.7067234369943727,0.4731448544905736
2,3.0,0.4063312540639122,0.36131577308361346
3,4.0,0.3195270710396317,0.28300257600270784
4,5.0,0.26673839705170327,0.252041506079527
5,6.0,0.24757056359974844,0.24231823705709898
6,7.0,0.23926397736342447,0.22943691106942984
7,8.0,0.23173410290817045,0.22450915552102602
8,9.0,0.22589131205711724,0.22101809428288385
9,10.0,0.22103321158661032,0.21616617074379554
10,11.0,0.21608902120365286,0.21132687880442694
11,12.0,0.21131441953047267,0.20756285007183367
12,13.0,0.20680536582784834,0.20419508333389574
13,14.0,0.20266056848022174,0.20085502014710352
14,15.0,0.1988287925157907,0.19729935779021338
15,16.0,0.19505094272910423,0.19446122302458838
16,17.0,0.19146252325120963,0.19180406630039215
17,18.0,0.18823642297735754,0.1893144719875776
18,19.0,0.18532059130803594,0.18683079458200014
19,20.0,0.18263396255250247,0.18425246958549207
20,21.0,0.18010797815502816,0.18176796917731947
21,22.0,0.1777486432835741,0.17950090078207162
22,23.0,0.17555063513090025,0.17746097422563112
23,24.0,0.17348812604850194,0.1756158024072647
24,25.0,0.17158248345806915,0.17388775715461144
25,26.0,0.16983262744714628,0.17231132548588973
26,27.0,0.16816679739727164,0.17087957606865808
27,28.0,0.16645866688692346,0.16949582902284768
28,29.0,0.16477322550314777,0.16791082918643951
29,30.0,0.16310281151870512,0.16591453781494728
30,31.0,0.16166498020010175,0.1642500781095945
31,32.0,0.16028995362092863,0.1623893013367286
32,33.0,0.15910995625100047,0.1610266142166578
33,34.0,0.1579451338862473,0.1593619860135592
34,35.0,0.15692952837584154,0.15841597318649292
35,36.0,0.15594713980296873,0.1569245423261936
36,37.0,0.15498235877954736,0.15575290070130274
37,38.0,0.15402174783202838,0.15459158672736242
38,39.0,0.15318137210495067,0.15408719846835503
39,40.0,0.15317400980670498,0.15521081479696128
40,41.0,0.15265400567144718,0.15291852675951445
41,42.0,0.1510670840177896,0.15254199504852295
42,43.0,0.15050215625538016,0.1513968247633714
43,44.0,0.14962710187120257,0.15137786475511697
44,45.0,0.14899796669213278,0.1500922258083637
45,46.0,0.14832772989318055,0.150874328154784
46,47.0,0.14787958590489514,0.1496789799286769
47,48.0,0.14690246531423531,0.14858365861269143
48,49.0,0.14668626071147198,0.14758044481277466
49,50.0,0.14505347525173762,0.14716080518869254
50,51.0,0.14483388864769126,0.14653431796110594
51,52.0,0.14409456106851687,0.14592714607715607
52,53.0,0.14355634996351205,0.14501705421851233
53,54.0,0.14296825989237372,0.14649660885334015
54,55.0,0.1422246944791866,0.1442919258887951
55,56.0,0.14121588614751707,0.14367076869194323
56,57.0,0.14023142940593217,0.1421377956867218
57,58.0,0.1395275224492235,0.1413853936470472
58,59.0,0.13878731935654046,0.1399547537932029
59,60.0,0.13818178058795208,0.14014066182650053
60,61.0,0.13753814868769557,0.13962308603983659
61,62.0,0.13641763619094524,0.13875029866512006
62,63.0,0.13624454908213526,0.13830523651379806
63,64.0,0.13505866898680632,0.13754995281879717
64,65.0,0.13505177157667447,0.13686213928919572
65,66.0,0.13391069688324658,0.1356758177280426
66,67.0,0.13301574509098846,0.13470725084726626
67,68.0,0.1324203829720335,0.1341202946809622
68,69.0,0.13235168032488734,0.1340366223683724
69,70.0,0.1308727815466107,0.13255456319222084
70,71.0,0.13019729771141736,0.13144649737156355
71,72.0,0.1296631834417019,0.1311793436224644
72,73.0,0.129254383158009,0.13085098736561263
73,74.0,0.1287039708135263,0.13026254796064818
74,75.0,0.12811297740576402,0.1297022241812486
75,76.0,0.1278415195784479,0.12903482581560427
76,77.0,0.12761508406333202,0.12953999581245276
77,78.0,0.1268777716553436,0.12846011209946412
78,79.0,0.12626191242685858,0.12792561604426458
79,80.0,0.12583805100535447,0.12791543912429076
80,81.0,0.12515993922386529,0.1274116841646341
81,82.0,0.12527061886382554,0.1266210852907254
82,83.0,0.12508034101634655,0.12625654844137338
83,84.0,0.12419301144919305,0.12562158990364808
84,85.0,0.1238250805521911,0.12537699250074533
85,86.0,0.12318279664471464,0.1250773507815141
86,87.0,0.12293588159219274,0.12502295180008963
87,88.0,0.12259157409645477,0.12457311611909133
88,89.0,0.12209298939637418,0.12421423540665553
89,90.0,0.121767595129193,0.12406391134628883
90,91.0,0.12142275611184677,0.12367756836689435
91,92.0,0.12104648534419402,0.12309169998535743
92,93.0,0.12061826434900176,0.1226046085357666
93,94.0,0.12028650616137486,0.1221576934823623
94,95.0,0.11988153435149283,0.12177065244087806
95,96.0,0.11952692537375216,0.12107406040796867
96,97.0,0.11913340398163166,0.12109916485272922
97,98.0,0.1187985046011097,0.12055926254162422
98,99.0,0.11841008545092817,0.12023409456014633
99,100.0,0.11806286449702282,0.11982161035904518
