,epoch,training loss,validation loss
0,1.0,0.9184162106322146,0.7668322172275809
1,2.0,0.573264242417511,0.46438350025997605
2,3.0,0.38666625663466836,0.3536593685316485
3,4.0,0.3213652356945235,0.31009111466795897
4,5.0,0.29781783911688575,0.29666030095067136
5,6.0,0.28637695124094514,0.2874089444792548
6,7.0,0.2769662231720727,0.279058518104775
7,8.0,0.27101134303314933,0.275063379559406
8,9.0,0.26640190184116364,0.27585846220338067
9,10.0,0.2613451774606759,0.2682315897802974
10,11.0,0.25851456255748356,0.2647631057473116
11,12.0,0.2546230099838355,0.2587179652480192
12,13.0,0.251464926048942,0.25907400908858275
13,14.0,0.24910513842585444,0.25877517045930376
14,15.0,0.2493060205517144,0.2550014770308206
15,16.0,0.24639898932528223,0.2530978807183199
16,17.0,0.24497793041084004,0.24909673561883527
17,18.0,0.2436497392154288,0.24828740711822067
18,19.0,0.24179387443709646,0.24953044153923212
19,20.0,0.24095930064889207,0.2472996015188306
20,21.0,0.23931236385271468,0.24622643860273583
21,22.0,0.2384115269985692,0.245578637303308
22,23.0,0.23878820394647532,0.24464605748653412
23,24.0,0.23740109895495162,0.2515969834355421
24,25.0,0.2377221102173301,0.24347104444060214
25,26.0,0.23567011027500548,0.24248424900132556
26,27.0,0.23502787904835296,0.23915031968161118
27,28.0,0.23389057044325204,0.2515903413295746
28,29.0,0.2341714081750519,0.24417295324247937
29,30.0,0.23235041322721833,0.23735182784324468
30,31.0,0.23022627333799997,0.2422329897797385
31,32.0,0.22986343862681552,0.23515962306843247
32,33.0,0.22875603348359294,0.24021765451098598
33,34.0,0.22777271373518582,0.23440039331136747
34,35.0,0.2289076861122559,0.23998967956664952
35,36.0,0.22607969081607357,0.2379322457452153
36,37.0,0.22565300283075748,0.23499756427698357
37,38.0,0.22479841335751544,0.2449510385130727
38,39.0,0.22531442258549833,0.23819385053113448
39,40.0,0.2224442588871923,0.23895988214847652
40,41.0,0.2213390049920685,0.2358444159807161
41,42.0,0.22105997817954798,0.23427425394224566
42,43.0,0.22077024436887654,0.23738708087178165
43,44.0,0.2200319304548461,0.23849058982937835
44,45.0,0.2194957694616811,0.23750290136004604
45,46.0,0.2187349007561289,0.23691679121449935
46,47.0,0.21869360090329729,0.23322198106799014
47,48.0,0.2173250457164885,0.23593017320300258
48,49.0,0.21696192437204823,0.23734271803567575
49,50.0,0.21583154309412528,0.23878118776997856
50,51.0,0.2180369232577839,0.23378372608229173
51,52.0,0.21572066740743046,0.2360517777675806
52,53.0,0.21403138493669444,0.2382311183352803
53,54.0,0.21420069449934467,0.23635211032490397
54,55.0,0.21406329517391906,0.23589969374412714
55,56.0,0.21400407547580785,0.23240852806457254
56,57.0,0.2165381912698691,0.23116450843422912
57,58.0,0.21269148528233342,0.23707839118879895
58,59.0,0.21159194983627605,0.2314367415600045
59,60.0,0.21193519337423916,0.23481674630974614
60,61.0,0.2115237908973091,0.23958566161089165
61,62.0,0.21042706372066475,0.23400473352088486
62,63.0,0.2114227552009725,0.23466741518918857
63,64.0,0.20857410235651608,0.23067942157734272
64,65.0,0.2216582395907106,0.23939258102760758
65,66.0,0.21547802940182303,0.24211917886900347
66,67.0,0.2121093600303277,0.23893083042876664
67,68.0,0.21013175978742796,0.23537410345188406
68,69.0,0.20940674687254018,0.23879634710245354
69,70.0,0.20922642124110255,0.23809443171634231
70,71.0,0.20841937280934433,0.23847208362679148
71,72.0,0.20703831135198988,0.23969831681528755
72,73.0,0.20769068256191825,0.24144102875576462
73,74.0,0.2070017971697895,0.23392074364562368
74,75.0,0.20668623236746625,0.2359445833189543
