,epoch,training loss,validation loss
0,1.0,0.9323557903026712,0.7654604509819386
1,2.0,0.5630061386645525,0.4724350211232208
2,3.0,0.4331488638431176,0.3988801739936651
3,4.0,0.37241735078137495,0.34279071730236677
4,5.0,0.33395200967788696,0.3178770368875459
5,6.0,0.31616181049538755,0.31282494165176566
6,7.0,0.30840200631097814,0.3023589828679728
7,8.0,0.30338461688537705,0.30679351299308066
8,9.0,0.3006878355625032,0.2955907659475194
9,10.0,0.2975106303547991,0.29405556030051655
10,11.0,0.29395109868940267,0.28780841584815536
11,12.0,0.29326839342542077,0.28823645724806674
12,13.0,0.2902259167240954,0.28918729791807574
13,14.0,0.2881117256722231,0.28292658439902374
14,15.0,0.284519472855261,0.285750110135522
15,16.0,0.28503071696593846,0.28435855792012327
16,17.0,0.28538907524840584,0.2864290624856949
17,18.0,0.2835893935855778,0.28505691366140234
18,19.0,0.2839414889271232,0.2839261400838231
19,20.0,0.2809888559511338,0.2793772622596386
20,21.0,0.2792631758526824,0.2760936098043309
21,22.0,0.2784961002996598,0.2770046106604643
22,23.0,0.2790557571697509,0.28276549106420473
23,24.0,0.2779238881735966,0.28125671938408253
24,25.0,0.27582062018671255,0.27802556475927664
25,26.0,0.274234129950918,0.276463471872862
26,27.0,0.2745207114808861,0.2787344670572946
27,28.0,0.2731293823527194,0.2789308033710302
28,29.0,0.272013115471807,0.27653029422427333
29,30.0,0.2709960810754491,0.27612001050350277
30,31.0,0.2709859512831973,0.27668278439100397
31,32.0,0.27216113846877527,0.2816158023684524
32,33.0,0.27025930155282735,0.27927865781063255
33,34.0,0.2732391044840045,0.28979142703289207
34,35.0,0.27346677864077445,0.27855552351751994
35,36.0,0.26812274933888997,0.2762956924216692
36,37.0,0.26819347967019025,0.2742311185182527
37,38.0,0.2667918626604409,0.27381233316521314
38,39.0,0.26600627438432867,0.27187824006690536
39,40.0,0.266166722294928,0.28689840158750846
40,41.0,0.266575181364328,0.2742731980113096
41,42.0,0.26482080711030415,0.27085092663764954
42,43.0,0.2629283582684637,0.2770717601443446
43,44.0,0.26267382100053216,0.280151003321936
44,45.0,0.26196379120322477,0.27898021180962407
45,46.0,0.2600155334020483,0.27190299851949823
46,47.0,0.2594190599589512,0.272771873446398
47,48.0,0.25840853026200983,0.2738943734141283
48,49.0,0.2564717586869481,0.27328230059424113
49,50.0,0.25867691404860593,0.2890479370605114
50,51.0,0.2555946084274643,0.2694858260626017
51,52.0,0.2886092721902091,0.3001022955705953
52,53.0,0.28184059228020153,0.28520977531754693
53,54.0,0.26365472239324417,0.27229135431522544
54,55.0,0.2584663002655424,0.2728759584038757
55,56.0,0.2571848051130087,0.26668533509553866
56,57.0,0.25382614058667213,0.27490898828173793
57,58.0,0.25315827747871134,0.27502430039782855
58,59.0,0.2525416069674766,0.27322036859601045
59,60.0,0.25030691125269594,0.273540455241536
60,61.0,0.2513917191275235,0.27401961732742397
61,62.0,0.2500687599524684,0.27579724927281224
62,63.0,0.24973856417954654,0.2813976445170336
63,64.0,0.25860299572519874,0.27832489685956824
64,65.0,0.2532056891198816,0.27358991947284966
65,66.0,0.24996951290930824,0.277568519115448
66,67.0,0.24905544904799298,0.27293995057427606
67,68.0,0.24748735823507967,0.2722810004339662
68,69.0,0.24867212532580585,0.2775433458561121
69,70.0,0.24814273434123774,0.2806184381939644
70,71.0,0.24499920404505457,0.2749588378640108
71,72.0,0.2456921387849183,0.2838510954102805
72,73.0,0.2500100304511772,0.2739185829495275
73,74.0,0.24672046680560059,0.28007910002109615
74,75.0,0.24662337948878607,0.280087111647739
