,epoch,training loss,validation loss
0,1.0,0.9971339480801561,0.9445008844479748
1,2.0,0.722477656114718,0.6147641486477577
2,3.0,0.5310927649167763,0.5293291320745972
3,4.0,0.4699932233612428,0.4721917546000974
4,5.0,0.42799397889824436,0.4303591927920265
5,6.0,0.40247486231998464,0.40733447208486756
6,7.0,0.3883618164764739,0.4001882083970925
7,8.0,0.38011125813441715,0.39636724793362893
8,9.0,0.3759735315053285,0.3920488412352814
9,10.0,0.3702464483078869,0.3874827531733732
10,11.0,0.3671153600102869,0.38647198659935217
11,12.0,0.3625598283720085,0.3833712973985179
12,13.0,0.36052010777866705,0.38262694020723476
13,14.0,0.3573509684881602,0.3798138764740407
14,15.0,0.35534884311772624,0.3826007029448433
15,16.0,0.3531235811439739,0.38334600516091816
16,17.0,0.3514999833771552,0.38355038777507583
17,18.0,0.34781925981842926,0.38370948533217114
18,19.0,0.34574026980533684,0.38671638927925595
19,20.0,0.34534928418867206,0.38293017121567124
20,21.0,0.34323323383156595,0.38296999987857094
21,22.0,0.3424804675039546,0.38675743392829237
22,23.0,0.3405553914563752,0.3859414239895755
23,24.0,0.3386449794359933,0.3872758546608618
24,25.0,0.34004127110044163,0.3865537157003907
25,26.0,0.33753982057859155,0.38808406221455544
26,27.0,0.3367278913956607,0.3861812197271435
27,28.0,0.33600291963024387,0.38500088299142904
28,29.0,0.3327447237853689,0.3832003407437226
29,30.0,0.33290472354782724,0.3813554300316449
30,31.0,0.3328392384680866,0.382999834401169
31,32.0,0.3322845468961302,0.38281618906506176
32,33.0,0.33177703873778897,0.381471611559391
33,34.0,0.3294622964257824,0.3810014083296403
34,35.0,0.3294571191500658,0.38283106462023725
35,36.0,0.3281089808877515,0.38135703344797267
36,37.0,0.3281923613200585,0.382248655561058
37,38.0,0.326393963191016,0.3806934284752813
38,39.0,0.32503112011599816,0.3849304721787058
39,40.0,0.3245348957335127,0.3816179844668542
40,41.0,0.3234796114265919,0.38138479217030535
41,42.0,0.3234757908416548,0.3848727598101243
42,43.0,0.32156295622645437,0.3802561259817803
43,44.0,0.3222560849383302,0.383497194740279
44,45.0,0.32165723495271015,0.3843320047204522
45,46.0,0.32026293248623267,0.3840972746069404
46,47.0,0.3189482392807459,0.3863856478155344
47,48.0,0.3211045116400239,0.3821139117253238
48,49.0,0.3187239296391778,0.3844494514766781
49,50.0,0.3184104030844809,0.3808700382366948
